commodity|prediction_date|date|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|yhat|sell|buy
oil|2020-10-13|2010-01-01|69.48889191761194|75.11335273024098|85.61664512324697|69.48889191761194|69.48889191761194|10.692782822149955|10.692782822149955|10.692782822149955|80.18167473976189|89.89747737940932|71.35768509372892
oil|2020-10-13|2010-01-02|69.5213363375299|74.86313451235173|85.05675561601652|69.5213363375299|69.5213363375299|10.60797363571599|10.60797363571599|10.60797363571599|80.1293099732459|89.30959339681735|71.11997778673414
oil|2020-10-13|2010-01-03|69.55378075744787|74.83762182004935|85.76010835238587|69.55378075744787|69.55378075744787|10.553234214099179|10.553234214099179|10.553234214099179|80.10701497154704|90.04811377000517|71.09574072904688
oil|2020-10-13|2010-01-04|69.58622517736583|74.65990123467112|85.27398053226332|69.58622517736583|69.58622517736583|10.498651907523325|10.498651907523325|10.498651907523325|80.08487708488916|89.53767955887649|70.92690617293756
oil|2020-10-13|2010-01-05|69.61866959728381|75.02701683575354|85.31367275023149|69.61866959728381|69.61866959728381|10.470355449323757|10.470355449323757|10.470355449323757|80.08902504660757|89.57935638774306|71.27566599396586
oil|2020-10-13|2010-01-06|69.65111401720178|75.17739668471351|86.07004837323187|69.65111401720178|69.65111401720178|10.440396317139497|10.440396317139497|10.440396317139497|80.09151033434128|90.37355079189346|71.41852685047783
oil|2020-10-13|2010-01-07|69.68355843711974|74.89242381776316|85.0666859090236|69.68355843711974|69.68355843711974|10.329174282316444|10.329174282316444|10.329174282316444|80.01273271943619|89.32002020447479|71.14780262687499
oil|2020-10-13|2010-01-08|69.71600285703771|74.46585958101406|85.08264001824702|69.71600285703771|69.71600285703771|10.252016736347775|10.252016736347775|10.252016736347775|79.96801959338548|89.33677201915937|70.74256660196335
oil|2020-10-13|2010-01-09|69.74844727695567|74.62456925741974|84.86103410015397|69.74844727695567|69.74844727695567|10.135555722544975|10.135555722544975|10.135555722544975|79.88400299950065|89.10408580516167|70.89334079454875
oil|2020-10-13|2010-01-10|69.78089169687364|74.41079241477657|85.19439183618373|69.78089169687364|69.78089169687364|10.04462397323643|10.04462397323643|10.04462397323643|79.82551567011006|89.45411142799291|70.69025279403773
