ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-05-31|198661.71501624878|198066.594369717|199254.27520886733|198661.71501624878|198661.71501624878|5.142173594984153|5.142173594984153|5.142173594984153|5.142173594984153|5.142173594984153|5.142173594984153|0.0|0.0|0.0|198666.85718984375
2020-06-01|199308.7179422408|198681.7439979013|199888.12175761219|199308.7179422408|199308.7179422408|-4.3293306358123|-4.3293306358123|-4.3293306358123|-4.3293306358123|-4.3293306358123|-4.3293306358123|0.0|0.0|0.0|199304.38861160498
2020-06-02|199955.72086823278|199337.9228243594|200592.1895546358|199955.72086823278|199955.72086823278|-10.912988831753754|-10.912988831753754|-10.912988831753754|-10.912988831753754|-10.912988831753754|-10.912988831753754|0.0|0.0|0.0|199944.80787940102
2020-06-03|200602.7237942248|200017.3267477199|201220.6003700352|200602.7237942248|200602.7237942248|3.964357965929086|3.964357965929086|3.964357965929086|3.964357965929086|3.964357965929086|3.964357965929086|0.0|0.0|0.0|200606.6881521907
2020-06-04|201249.72672021683|200633.48912671907|201854.9124260716|201249.72672021683|201249.72672021683|-4.173298033467051|-4.173298033467051|-4.173298033467051|-4.173298033467051|-4.173298033467051|-4.173298033467051|0.0|0.0|0.0|201245.55342218335
2020-06-05|201896.72964620884|201290.12093636897|202515.03281385722|201896.72964620884|201896.72964620884|3.6194392809274705|3.6194392809274705|3.6194392809274705|3.6194392809274705|3.6194392809274705|3.6194392809274705|0.0|0.0|0.0|201900.34908548978
2020-06-06|202543.73257220085|201949.62002673495|203152.77728480898|202543.73257220085|202543.73257220085|6.68964665924789|6.68964665924789|6.68964665924789|6.68964665924789|6.68964665924789|6.68964665924789|0.0|0.0|0.0|202550.4222188601
2020-06-07|203190.73549819287|202585.45367326643|203772.5045501522|203190.7354981929|203190.7354981929|5.1421735949695755|5.1421735949695755|5.1421735949695755|5.1421735949695755|5.1421735949695755|5.1421735949695755|0.0|0.0|0.0|203195.87767178784
2020-06-08|203837.73842418488|203257.78309039178|204491.3724144365|203837.73842418485|203837.73842418485|-4.329330635813088|-4.329330635813088|-4.329330635813088|-4.329330635813088|-4.329330635813088|-4.329330635813088|0.0|0.0|0.0|203833.40909354907
2020-06-09|204484.74135017692|203883.9068638271|205033.08996473835|204484.74135017692|204484.74135017692|-10.912988831778861|-10.912988831778861|-10.912988831778861|-10.912988831778861|-10.912988831778861|-10.912988831778861|0.0|0.0|0.0|204473.82836134513
2020-06-10|205131.74427616893|204501.68238225972|205696.3135139418|205131.74427616893|205131.74427616893|3.9643579659369395|3.9643579659369395|3.9643579659369395|3.9643579659369395|3.9643579659369395|3.9643579659369395|0.0|0.0|0.0|205135.70863413488
2020-06-11|205778.74720216094|205127.3688322318|206394.93404614582|205778.74720216094|205778.74720216094|-4.173298033476403|-4.173298033476403|-4.173298033476403|-4.173298033476403|-4.173298033476403|-4.173298033476403|0.0|0.0|0.0|205774.57390412746
2020-06-12|206425.75012815295|205833.9028201867|207055.2650824941|206425.75012815295|206425.75012815295|3.619439280926859|3.619439280926859|3.619439280926859|3.619439280926859|3.619439280926859|3.619439280926859|0.0|0.0|0.0|206429.3695674339
2020-06-13|207072.75305414497|206516.39740248508|207685.142727766|207072.75305414497|207072.75305414497|6.689646659229812|6.689646659229812|6.689646659229812|6.689646659229812|6.689646659229812|6.689646659229812|0.0|0.0|0.0|207079.4427008042
2020-06-14|207719.755980137|207128.44322401274|208327.82538292868|207719.755980137|207719.755980137|5.142173595027631|5.142173595027631|5.142173595027631|5.142173595027631|5.142173595027631|5.142173595027631|0.0|0.0|0.0|207724.89815373204
