commodity|prediction_date|date|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|yhat|sell|buy
oil|2021-08-27|2020-05-31|72.55007039540718|36.09764673221237|40.522907320204716|72.55007039540718|72.55007039540718|-34.228664193717|-34.228664193717|-34.228664193717|38.32140620169017|42.54905268621496|34.29276439560175
oil|2021-08-27|2020-06-01|72.38702029527842|36.13294528729353|40.38951880076773|72.38702029527842|72.38702029527842|-34.007757747671086|-34.007757747671086|-34.007757747671086|38.37926254760733|42.40899474080612|34.32629802292885
oil|2021-08-27|2020-06-02|72.22397019514968|36.46929830847799|40.77329608509485|72.22397019514968|72.22397019514968|-33.64891445590419|-33.64891445590419|-33.64891445590419|38.575055739245485|42.81196088934959|34.64583339305409
oil|2021-08-27|2020-06-03|72.06092009502092|36.69603252210442|40.94863879605994|72.06092009502092|72.06092009502092|-33.193161984987235|-33.193161984987235|-33.193161984987235|38.867758110033684|42.996070735862936|34.86123089599919
oil|2021-08-27|2020-06-04|71.89786999489218|36.708830398130054|41.06701570678983|71.89786999489218|71.89786999489218|-33.171258259910324|-33.171258259910324|-33.171258259910324|38.72661173498185|43.12036649212933|34.87338887822355
oil|2021-08-27|2020-06-05|71.73481989476342|36.77241517399664|41.07897658528705|71.73481989476342|71.73481989476342|-32.916799158944215|-32.916799158944215|-32.916799158944215|38.8180207358192|43.13292541455141|34.93379441529681
oil|2021-08-27|2020-06-06|71.57176979463468|36.59594981147432|41.07426747960713|71.57176979463468|71.57176979463468|-32.718340288263825|-32.718340288263825|-32.718340288263825|38.85342950637085|43.12798085358749|34.7661523209006
oil|2021-08-27|2020-06-07|71.40871969450592|36.6105704866834|41.03936303569078|71.40871969450592|71.40871969450592|-32.52033656336297|-32.52033656336297|-32.52033656336297|38.88838313114295|43.091331187475326|34.78004196234923
oil|2021-08-27|2020-06-08|71.24566959437716|36.72488350902674|41.091238222495626|71.24566959437716|71.24566959437716|-32.2994301173167|-32.2994301173167|-32.2994301173167|38.94623947706046|43.14580013362041|34.8886393335754
oil|2021-08-27|2020-06-09|71.08261949424842|36.85203567032167|41.3518305431108|71.08261949424842|71.08261949424842|-31.940586825550746|-31.940586825550746|-31.940586825550746|39.142032668697674|43.41942207026634|35.00943388680558
oil|2021-08-27|2020-06-10|70.91956939411966|37.229905608685705|41.53061743316965|70.91956939411966|70.91956939411966|-31.48483435463288|-31.48483435463288|-31.48483435463288|39.43473503948678|43.60714830482814|35.36841032825142
oil|2021-08-27|2020-06-11|70.75651929399092|37.1858214725194|41.511803393995656|70.75651929399092|70.75651929399092|-31.46293062955624|-31.46293062955624|-31.46293062955624|39.29358866443468|43.58739356369544|35.32653039889343
oil|2021-08-27|2020-06-12|70.59346919386218|37.16976429112579|41.61059082934656|70.59346919386218|70.59346919386218|-31.20847152859002|-31.20847152859002|-31.20847152859002|39.38499766527215|43.69112037081389|35.3112760765695
oil|2021-08-27|2020-06-13|70.43041909373342|37.167305940678304|41.44725090805144|70.43041909373342|70.43041909373342|-31.01001265790992|-31.01001265790992|-31.01001265790992|39.4204064358235|43.51961345345401|35.308940643644384
oil|2021-08-27|2020-06-14|70.26736899360466|37.37805206366639|41.5913647065674|70.26736899360466|70.26736899360466|-30.812008933008098|-30.812008933008098|-30.812008933008098|39.45536006059656|43.67093294189577|35.509149460483066
oil|2021-08-27|2020-06-15|70.10431889347592|37.26561368548957|41.81412413906936|70.10431889347592|70.10431889347592|-30.59110248696241|-30.59110248696241|-30.59110248696241|39.51321640651351|43.90483034602283|35.40233300121509
oil|2021-08-27|2020-06-16|69.94126879178272|37.61695662268881|41.94162513260609|69.94126879178272|69.94126879178272|-30.270040198902848|-30.270040198902848|-30.270040198902848|39.67122859287987|44.038706389236395|35.73610879155437
oil|2021-08-27|2020-06-17|69.77821869008952|37.78791553839002|42.024147246959366|69.77821869008952|69.77821869008952|-29.852068731692114|-29.852068731692114|-29.852068731692114|39.9261499583974|44.12535460930734|35.89851976147052
oil|2021-08-27|2020-06-18|69.61516858839633|37.579848401139365|41.90602896253229|69.61516858839633|69.61516858839633|-29.867946010322154|-29.867946010322154|-29.867946010322154|39.74722257807417|44.00133041065891|35.7008559810824
oil|2021-08-27|2020-06-19|69.45211848670313|37.81425159966718|42.05619854400538|69.45211848670313|69.45211848670313|-29.651267913062526|-29.651267913062526|-29.651267913062526|39.8008505736406|44.15900847120565|35.92353901968382
oil|2021-08-27|2020-06-20|69.28906838500993|37.549405273136834|42.05816638217845|69.28906838500993|69.28906838500993|-29.49059004608893|-29.49059004608893|-29.49059004608893|39.798478338921|44.161074701287376|35.67193500947999
oil|2021-08-27|2020-06-21|69.12601828331672|37.57853953674304|42.1638405891715|69.12601828331672|69.12601828331672|-29.33036732489443|-29.33036732489443|-29.33036732489443|39.7956509584223|44.27203261863008|35.69961255990588
oil|2021-08-27|2020-06-22|68.96296818162352|37.827217061684586|41.95125039905168|68.96296818162352|68.96296818162352|-29.147241882555093|-29.147241882555093|-29.147241882555093|39.81572629906843|44.04881291900427|35.935856208600356
oil|2021-08-27|2020-06-23|68.79991807993032|37.959819827296535|42.01238487208262|68.79991807993032|68.79991807993032|-28.82617959449555|-28.82617959449555|-28.82617959449555|39.97373848543477|44.113004115686756|36.061828835931706
oil|2021-08-27|2020-06-24|68.63686797823713|38.05129262918819|42.45938852005614|68.63686797823713|68.63686797823713|-28.408208127284706|-28.408208127284706|-28.408208127284706|40.228659850952425|44.58235794605895|36.14872799772878
oil|2021-08-27|2020-06-25|68.47381787654392|37.90253028397555|42.234939510363375|68.47381787654392|68.47381787654392|-28.42408540591414|-28.42408540591414|-28.42408540591414|40.04973247062978|44.34668648588155|36.00740376977677
oil|2021-08-27|2020-06-26|68.31076777485073|38.175445172435744|42.32435049302471|68.31076777485073|68.31076777485073|-28.20740730865507|-28.20740730865507|-28.20740730865507|40.10336046619566|44.44056801767595|36.266672913813956
oil|2021-08-27|2020-06-27|68.14771767315753|37.95150869631738|42.485725872942474|68.14771767315753|68.14771767315753|-28.046729441681382|-28.046729441681382|-28.046729441681382|40.10098823147615|44.6100121665896|36.05393326150151
oil|2021-08-27|2020-06-28|67.98466757146433|37.87598164543117|42.15855813861018|67.98466757146433|67.98466757146433|-27.886506720486786|-27.886506720486786|-27.886506720486786|40.09816085097754|44.266486045540695|35.982182563159604
oil|2021-08-27|2020-06-29|67.82161746977113|37.98270357036163|42.28860789060752|67.82161746977113|67.82161746977113|-27.70338127814745|-27.70338127814745|-27.70338127814745|40.11823619162368|44.4030382851379|36.08356839184355
