"date","consumptionValue"
2010-07-27,89.221935483871
2010-07-28,89.2635483870968
2010-07-29,89.3051612903226
2010-07-30,89.3467741935484
2010-07-31,89.3883870967742
2010-08-01,89.43
2010-08-02,89.47
2010-08-03,89.51
2010-08-04,89.55
2010-08-05,89.59
2010-08-06,89.63
2010-08-07,89.67
2010-08-08,89.71
2010-08-09,89.75
2010-08-10,89.79
2010-08-11,89.83
2010-08-12,89.87
2010-08-13,89.91
2010-08-14,89.95
2010-08-15,89.99
2010-08-16,90.03
2010-08-17,90.07
2010-08-18,90.11
2010-08-19,90.15
2010-08-20,90.19
2010-08-21,90.23
2010-08-22,90.27
2010-08-23,90.31
2010-08-24,90.35
2010-08-25,90.39
2010-08-26,90.43
2010-08-27,90.47
2010-08-28,90.51
2010-08-29,90.55
2010-08-30,90.59
2010-08-31,90.63
2010-09-01,90.67
2010-09-02,90.583
2010-09-03,90.496
2010-09-04,90.409
2010-09-05,90.322
2010-09-06,90.235
2010-09-07,90.148
2010-09-08,90.061
2010-09-09,89.974
2010-09-10,89.887
2010-09-11,89.8
2010-09-12,89.713
2010-09-13,89.626
2010-09-14,89.539
2010-09-15,89.452
2010-09-16,89.365
2010-09-17,89.278
2010-09-18,89.191
2010-09-19,89.104
2010-09-20,89.017
2010-09-21,88.93
2010-09-22,88.843
2010-09-23,88.756
2010-09-24,88.669
2010-09-25,88.582
2010-09-26,88.495
2010-09-27,88.408
2010-09-28,88.321
2010-09-29,88.234
2010-09-30,88.147
2010-10-01,88.06
2010-10-02,88.1345161290323
2010-10-03,88.2090322580645
2010-10-04,88.2835483870968
2010-10-05,88.358064516129
2010-10-06,88.4325806451613
2010-10-07,88.5070967741936
2010-10-08,88.5816129032258
2010-10-09,88.6561290322581
2010-10-10,88.7306451612903
2010-10-11,88.8051612903226
2010-10-12,88.8796774193548
2010-10-13,88.9541935483871
2010-10-14,89.0287096774194
2010-10-15,89.1032258064516
2010-10-16,89.1777419354839
2010-10-17,89.2522580645161
2010-10-18,89.3267741935484
2010-10-19,89.4012903225806
2010-10-20,89.4758064516129
2010-10-21,89.5503225806452
2010-10-22,89.6248387096774
2010-10-23,89.6993548387097
2010-10-24,89.7738709677419
2010-10-25,89.8483870967742
2010-10-26,89.9229032258065
2010-10-27,89.9974193548387
2010-10-28,90.071935483871
2010-10-29,90.1464516129032
2010-10-30,90.2209677419355
2010-10-31,90.2954838709677
2010-11-01,90.37
2010-11-02,90.4226666666667
2010-11-03,90.4753333333333
2010-11-04,90.528
2010-11-05,90.5806666666667
2010-11-06,90.6333333333333
2010-11-07,90.686
2010-11-08,90.7386666666667
2010-11-09,90.7913333333333
2010-11-10,90.844
2010-11-11,90.8966666666667
2010-11-12,90.9493333333333
2010-11-13,91.002
2010-11-14,91.0546666666667
2010-11-15,91.1073333333333
2010-11-16,91.16
2010-11-17,91.2126666666667
2010-11-18,91.2653333333333
2010-11-19,91.318
2010-11-20,91.3706666666667
2010-11-21,91.4233333333333
2010-11-22,91.476
2010-11-23,91.5286666666667
2010-11-24,91.5813333333333
2010-11-25,91.634
2010-11-26,91.6866666666667
2010-11-27,91.7393333333333
2010-11-28,91.792
2010-11-29,91.8446666666667
2010-11-30,91.8973333333333
2010-12-01,91.95
2010-12-02,91.8116129032258
2010-12-03,91.6732258064516
2010-12-04,91.5348387096774
2010-12-05,91.3964516129032
2010-12-06,91.258064516129
2010-12-07,91.1196774193548
2010-12-08,90.9812903225806
2010-12-09,90.8429032258065
2010-12-10,90.7045161290323
2010-12-11,90.5661290322581
2010-12-12,90.4277419354839
2010-12-13,90.2893548387097
2010-12-14,90.1509677419355
2010-12-15,90.0125806451613
2010-12-16,89.8741935483871
2010-12-17,89.7358064516129
2010-12-18,89.5974193548387
2010-12-19,89.4590322580645
2010-12-20,89.3206451612903
2010-12-21,89.1822580645161
2010-12-22,89.0438709677419
2010-12-23,88.9054838709677
2010-12-24,88.7670967741935
2010-12-25,88.6287096774194
2010-12-26,88.4903225806452
2010-12-27,88.351935483871
2010-12-28,88.2135483870968
2010-12-29,88.0751612903226
2010-12-30,87.9367741935484
2010-12-31,87.7983870967742
2011-01-01,87.66
2011-01-02,87.7432258064516
2011-01-03,87.8264516129032
2011-01-04,87.9096774193548
2011-01-05,87.9929032258064
2011-01-06,88.0761290322581
2011-01-07,88.1593548387097
2011-01-08,88.2425806451613
2011-01-09,88.3258064516129
2011-01-10,88.4090322580645
2011-01-11,88.4922580645161
2011-01-12,88.5754838709677
2011-01-13,88.6587096774194
2011-01-14,88.741935483871
2011-01-15,88.8251612903226
2011-01-16,88.9083870967742
2011-01-17,88.9916129032258
2011-01-18,89.0748387096774
2011-01-19,89.158064516129
2011-01-20,89.2412903225806
2011-01-21,89.3245161290322
2011-01-22,89.4077419354839
2011-01-23,89.4909677419355
2011-01-24,89.5741935483871
2011-01-25,89.6574193548387
2011-01-26,89.7406451612903
2011-01-27,89.8238709677419
2011-01-28,89.9070967741935
2011-01-29,89.9903225806452
2011-01-30,90.0735483870968
2011-01-31,90.1567741935484
2011-02-01,90.24
2011-02-02,90.1907142857143
2011-02-03,90.1414285714286
2011-02-04,90.0921428571428
2011-02-05,90.0428571428571
2011-02-06,89.9935714285714
2011-02-07,89.9442857142857
2011-02-08,89.895
2011-02-09,89.8457142857143
2011-02-10,89.7964285714286
2011-02-11,89.7471428571428
2011-02-12,89.6978571428571
2011-02-13,89.6485714285714
2011-02-14,89.5992857142857
2011-02-15,89.55
2011-02-16,89.5007142857143
2011-02-17,89.4514285714286
2011-02-18,89.4021428571428
2011-02-19,89.3528571428571
2011-02-20,89.3035714285714
2011-02-21,89.2542857142857
2011-02-22,89.205
2011-02-23,89.1557142857143
2011-02-24,89.1064285714286
2011-02-25,89.0571428571428
2011-02-26,89.0078571428571
2011-02-27,88.9585714285714
2011-02-28,88.9092857142857
2011-03-01,88.86
2011-03-02,88.8083870967742
2011-03-03,88.7567741935484
2011-03-04,88.7051612903226
2011-03-05,88.6535483870968
2011-03-06,88.601935483871
2011-03-07,88.5503225806452
2011-03-08,88.4987096774194
2011-03-09,88.4470967741936
2011-03-10,88.3954838709677
2011-03-11,88.3438709677419
2011-03-12,88.2922580645161
2011-03-13,88.2406451612903
2011-03-14,88.1890322580645
2011-03-15,88.1374193548387
2011-03-16,88.0858064516129
2011-03-17,88.0341935483871
2011-03-18,87.9825806451613
2011-03-19,87.9309677419355
2011-03-20,87.8793548387097
2011-03-21,87.8277419354839
2011-03-22,87.7761290322581
2011-03-23,87.7245161290323
2011-03-24,87.6729032258065
2011-03-25,87.6212903225806
2011-03-26,87.5696774193548
2011-03-27,87.518064516129
2011-03-28,87.4664516129032
2011-03-29,87.4148387096774
2011-03-30,87.3632258064516
2011-03-31,87.3116129032258
2011-04-01,87.26
2011-04-02,87.2636666666667
2011-04-03,87.2673333333333
2011-04-04,87.271
2011-04-05,87.2746666666667
2011-04-06,87.2783333333333
2011-04-07,87.282
2011-04-08,87.2856666666667
2011-04-09,87.2893333333333
2011-04-10,87.293
2011-04-11,87.2966666666667
2011-04-12,87.3003333333333
2011-04-13,87.304
2011-04-14,87.3076666666667
2011-04-15,87.3113333333333
2011-04-16,87.315
2011-04-17,87.3186666666667
2011-04-18,87.3223333333333
2011-04-19,87.326
2011-04-20,87.3296666666667
2011-04-21,87.3333333333333
2011-04-22,87.337
2011-04-23,87.3406666666667
2011-04-24,87.3443333333333
2011-04-25,87.348
2011-04-26,87.3516666666667
2011-04-27,87.3553333333333
2011-04-28,87.359
2011-04-29,87.3626666666667
2011-04-30,87.3663333333333
2011-05-01,87.37
2011-05-02,87.4332258064516
2011-05-03,87.4964516129032
2011-05-04,87.5596774193548
2011-05-05,87.6229032258065
2011-05-06,87.6861290322581
2011-05-07,87.7493548387097
2011-05-08,87.8125806451613
2011-05-09,87.8758064516129
2011-05-10,87.9390322580645
2011-05-11,88.0022580645161
2011-05-12,88.0654838709677
2011-05-13,88.1287096774194
2011-05-14,88.191935483871
2011-05-15,88.2551612903226
