ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|dollarindex|dollarindex_lower|dollarindex_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-05-31|48.62342915295977|57.58718262741746|68.60339839544983|48.62342915295977|48.62342915295977|14.235435222792653|14.235435222792653|14.235435222792653|14.154311823120066|14.154311823120066|14.154311823120066|14.154311823120066|14.154311823120066|14.154311823120066|0.08112339967258626|0.08112339967258626|0.08112339967258626|0.0|0.0|0.0|62.858864375752425
2020-06-01|48.42583530428273|57.634823202814594|68.84227330023751|48.42583530428273|48.42583530428273|14.507738102668581|14.507738102668581|14.507738102668581|14.207871110424957|14.207871110424957|14.207871110424957|14.207871110424957|14.207871110424957|14.207871110424957|0.2998669922436241|0.2998669922436241|0.2998669922436241|0.0|0.0|0.0|62.93357340695131
2020-06-02|48.228241455605676|57.227786035141435|68.36009896618879|48.228241455605676|48.228241455605676|14.289942829480783|14.289942829480783|14.289942829480783|14.1535252628384|14.1535252628384|14.1535252628384|14.1535252628384|14.1535252628384|14.1535252628384|0.13641756664238217|0.13641756664238217|0.13641756664238217|0.0|0.0|0.0|62.51818428508646
2020-06-03|48.03064760692863|56.855903997207236|67.53798421906635|48.03064760692863|48.03064760692863|14.337969497691555|14.337969497691555|14.337969497691555|14.226876550824954|14.226876550824954|14.226876550824954|14.226876550824954|14.226876550824954|14.226876550824954|0.11109294686660147|0.11109294686660147|0.11109294686660147|0.0|0.0|0.0|62.368617104620185
2020-06-04|47.83305375825158|56.89014106665623|67.60891445413009|47.83305375825158|47.83305375825158|14.22826889223754|14.22826889223754|14.22826889223754|14.300819022284314|14.300819022284314|14.300819022284314|14.300819022284314|14.300819022284314|14.300819022284314|-0.07255013004677179|-0.07255013004677179|-0.07255013004677179|0.0|0.0|0.0|62.06132265048912
2020-06-05|47.635459909574536|55.94019097267136|67.04798548631531|47.635459909574536|47.635459909574536|14.040490450755742|14.040490450755742|14.040490450755742|14.438468986088735|14.438468986088735|14.438468986088735|14.438468986088735|14.438468986088735|14.438468986088735|-0.39797853533299055|-0.39797853533299055|-0.39797853533299055|0.0|0.0|0.0|61.675950360330276
2020-06-06|47.437866060897484|55.855877077502164|67.24853937177745|47.437866060897484|47.437866060897484|14.289992548104507|14.289992548104507|14.289992548104507|14.447964788148784|14.447964788148784|14.447964788148784|14.447964788148784|14.447964788148784|14.447964788148784|-0.1579722400442752|-0.1579722400442752|-0.1579722400442752|0.0|0.0|0.0|61.72785860900199
2020-06-07|47.24027221222044|56.45126743513505|67.24216444995206|47.24027221222044|47.24027221222044|14.538861232056618|14.538861232056618|14.538861232056618|14.457737832383806|14.457737832383806|14.457737832383806|14.457737832383806|14.457737832383806|14.457737832383806|0.08112339967281294|0.08112339967281294|0.08112339967281294|0.0|0.0|0.0|61.77913344427706
2020-06-08|47.04267836354339|56.19253298875397|67.41684898415352|47.04267836354339|47.04267836354339|14.81116411193231|14.81116411193231|14.81116411193231|14.511297119688784|14.511297119688784|14.511297119688784|14.511297119688784|14.511297119688784|14.511297119688784|0.29986699224352664|0.29986699224352664|0.29986699224352664|0.0|0.0|0.0|61.8538424754757
2020-06-09|46.84508451486634|55.9222525750757|67.07485993602654|46.84508451486634|46.84508451486634|14.593368838745114|14.593368838745114|14.593368838745114|14.456951272102415|14.456951272102415|14.456951272102415|14.456951272102415|14.456951272102415|14.456951272102415|0.13641756664269683|0.13641756664269683|0.13641756664269683|0.0|0.0|0.0|61.43845335361146
2020-06-10|46.64749066618929|55.427215914436594|66.95019640747081|46.64749066618929|46.64749066618929|14.641395506954657|14.641395506954657|14.641395506954657|14.530302560088694|14.530302560088694|14.530302560088694|14.530302560088694|14.530302560088694|14.530302560088694|0.11109294686596448|0.11109294686596448|0.11109294686596448|0.0|0.0|0.0|61.28888617314395
2020-06-11|46.44989681751225|55.36818491593439|66.67806391390289|46.44989681751225|46.44989681751225|14.531694901500774|14.531694901500774|14.531694901500774|14.604245031548096|14.604245031548096|14.604245031548096|14.604245031548096|14.604245031548096|14.604245031548096|-0.07255013004732107|-0.07255013004732107|-0.07255013004732107|0.0|0.0|0.0|60.981591719013025
2020-06-12|46.252302968835195|54.90224803735561|65.81202317598884|46.252302968835195|46.252302968835195|14.343916460019422|14.343916460019422|14.343916460019422|14.741894995352562|14.741894995352562|14.741894995352562|14.741894995352562|14.741894995352562|14.741894995352562|-0.39797853533313904|-0.39797853533313904|-0.39797853533313904|0.0|0.0|0.0|60.59621942885462
2020-06-13|46.05470912015815|55.08823075896761|66.49703805135061|46.05470912015815|46.05470912015815|14.593418557368352|14.593418557368352|14.593418557368352|14.751390797412473|14.751390797412473|14.751390797412473|14.751390797412473|14.751390797412473|14.751390797412473|-0.15797224004412017|-0.15797224004412017|-0.15797224004412017|0.0|0.0|0.0|60.6481276775265
2020-06-14|45.8571152714811|55.61219659509679|65.85563114443734|45.8571152714811|45.8571152714811|14.842287241319584|14.842287241319584|14.842287241319584|14.761163841647772|14.761163841647772|14.761163841647772|14.761163841647772|14.761163841647772|14.761163841647772|0.08112339967181237|0.08112339967181237|0.08112339967181237|0.0|0.0|0.0|60.69940251280068
