ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|yearly|yearly_lower|yearly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2014-12-29|91.95721963422189|90.44604832615755|93.72654422944333|91.95721963422189|91.95721963422189|0.193359555131092|0.193359555131092|0.193359555131092|-0.004544166134626679|-0.004544166134626679|-0.004544166134626679|0.19790372126571862|0.19790372126571862|0.19790372126571862|0.0|0.0|0.0|92.15057918935298
2014-12-30|92.03990959331387|90.64872303180553|93.94842560347222|92.03990959331387|92.03990959331387|0.19005311298013486|0.19005311298013486|0.19005311298013486|0.0004369352249443789|0.0004369352249443789|0.0004369352249443789|0.1896161777551905|0.1896161777551905|0.1896161777551905|0.0|0.0|0.0|92.229962706294
2014-12-31|92.12259955240584|90.62189943737704|93.92600651047792|92.12259955240586|92.12259955240586|0.18633197210850388|0.18633197210850388|0.18633197210850388|0.007151617779872474|0.007151617779872474|0.007151617779872474|0.1791803543286314|0.1791803543286314|0.1791803543286314|0.0|0.0|0.0|92.30893152451435
2015-01-01|92.20528951149784|90.65794397474501|93.9802215835132|92.20528951149784|92.20528951149784|0.1561799301636122|0.1561799301636122|0.1561799301636122|-0.010512393059579883|-0.010512393059579883|-0.010512393059579883|0.1666923232231921|0.1666923232231921|0.1666923232231921|0.0|0.0|0.0|92.36146944166146
2015-01-02|92.28797947058982|90.80413559584346|94.22175081145627|92.28797947058982|92.28797947058982|0.16102258413134243|0.16102258413134243|0.16102258413134243|0.008731578629686005|0.008731578629686005|0.008731578629686005|0.15229100550165642|0.15229100550165642|0.15229100550165642|0.0|0.0|0.0|92.44900205472116
2015-01-03|92.37066942968178|90.8313791602352|94.11822005583133|92.37066942968178|92.37066942968178|0.1399523292547783|0.1399523292547783|0.1399523292547783|0.0038001439946356076|0.0038001439946356076|0.0038001439946356076|0.13615218526014267|0.13615218526014267|0.13615218526014267|0.0|0.0|0.0|92.51062175893657
2015-01-04|92.45335938877379|90.76007234790247|94.2738911289042|92.45335938877379|92.45335938877379|0.11341806822606142|0.11341806822606142|0.11341806822606142|-0.0050637164350108635|-0.0050637164350108635|-0.0050637164350108635|0.11848178466107226|0.11848178466107226|0.11848178466107226|0.0|0.0|0.0|92.56677745699986
2015-01-05|92.53604934786574|91.03664051302879|94.3010037881919|92.53604934786574|92.53604934786574|0.09496446379447776|0.09496446379447776|0.09496446379447776|-0.004544166134629979|-0.004544166134629979|-0.004544166134629979|0.09950862992910775|0.09950862992910775|0.09950862992910775|0.0|0.0|0.0|92.63101381166022
2015-01-06|92.6187393069577|91.06705533012266|94.31873078683554|92.6187393069577|92.6187393069577|0.07991388214703264|0.07991388214703264|0.07991388214703264|0.00043693522495854827|0.00043693522495854827|0.00043693522495854827|0.0794769469220741|0.0794769469220741|0.0794769469220741|0.0|0.0|0.0|92.69865318910475
2015-01-07|92.70142926604971|91.0969802917791|94.35423968770692|92.70142926604971|92.70142926604971|0.0657904438059485|0.0657904438059485|0.0657904438059485|0.007151617779874799|0.007151617779874799|0.007151617779874799|0.0586388260260737|0.0586388260260737|0.0586388260260737|0.0|0.0|0.0|92.76721970985567
2015-01-08|92.78411922514168|91.29483033746104|94.50404952905464|92.78411922514167|92.78411922514167|0.026734496936407424|0.026734496936407424|0.026734496936407424|-0.01051239305957773|-0.01051239305957773|-0.01051239305957773|0.03724688999598515|0.03724688999598515|0.03724688999598515|0.0|0.0|0.0|92.8108537220781
2015-01-09|92.86680918423366|91.23839744230203|94.6733835004567|92.86680918423366|92.86680918423366|0.024278963880638424|0.024278963880638424|0.024278963880638424|0.008731578629711705|0.008731578629711705|0.008731578629711705|0.015547385250926717|0.015547385250926717|0.015547385250926717|0.0|0.0|0.0|92.89108814811429
