ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|capacityPercentChange|capacityPercentChange_lower|capacityPercentChange_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|inventoryChange|inventoryChange_lower|inventoryChange_upper|nonOPECProductionChange|nonOPECProductionChange_lower|nonOPECProductionChange_upper|nonoecdConsumptionChange|nonoecdConsumptionChange_lower|nonoecdConsumptionChange_upper|oecdConsumptionChange|oecdConsumptionChange_lower|oecdConsumptionChange_upper|oilRigs|oilRigs_lower|oilRigs_upper|saudiProductionChange|saudiProductionChange_lower|saudiProductionChange_upper|weekly|weekly_lower|weekly_upper|worldConsumptionChange|worldConsumptionChange_lower|worldConsumptionChange_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-06-11|2027722.4134559522|2087635.6019911957|2097305.4910449665|2027722.413455952|2027722.413455952|64811.59207124855|64811.59207124855|64811.59207124855|28318.83886472472|28318.83886472472|28318.83886472472|64849.00368977839|64849.00368977839|64849.00368977839|19746.43751932289|19746.43751932289|19746.43751932289|163392.27579092816|163392.27579092816|163392.27579092816|-119891.80093958536|-119891.80093958536|-119891.80093958536|-70374.0277417814|-70374.0277417814|-70374.0277417814|-107901.82461728845|-107901.82461728845|-107901.82461728845|106311.07652857671|106311.07652857671|106311.07652857671|-37.41161852982007|-37.41161852982007|-37.41161852982007|45248.028284881104|45248.028284881104|45248.028284881104|0.0|0.0|0.0|2092534.0055272006
2020-06-12|2028211.1985285485|2088447.3449032558|2098085.2462137197|2028211.1985285485|2028211.1985285485|65250.248728890634|65250.248728890634|65250.248728890634|28305.919558198057|28305.919558198057|28305.919558198057|65155.138036774435|65155.138036774435|65155.138036774435|19717.99930620863|19717.99930620863|19717.99930620863|163529.6272197304|163529.6272197304|163529.6272197304|-118936.68587121907|-118936.68587121907|-118936.68587121907|-70530.67684160086|-70530.67684160086|-70530.67684160086|-108526.16393140693|-108526.16393140693|-108526.16393140693|106304.21929214706|106304.21929214706|106304.21929214706|95.1106921162441|95.1106921162441|95.1106921162441|45290.89930471714|45290.89930471714|45290.89930471714|0.0|0.0|0.0|2093461.4472574391
2020-06-13|2028699.9836011447|2089738.2813899387|2099153.1256266613|2028699.9836011447|2028699.9836011447|65779.67395288733|65779.67395288733|65779.67395288733|27807.07664497477|27807.07664497477|27807.07664497477|65763.04810083678|65763.04810083678|65763.04810083678|19687.044555206598|19687.044555206598|19687.044555206598|163562.5671455527|163562.5671455527|163562.5671455527|-117953.63157266357|-117953.63157266357|-117953.63157266357|-69037.29188189637|-69037.29188189637|-69037.29188189637|-109152.62240465368|-109152.62240465368|-109152.62240465368|106410.18602280166|106410.18602280166|106410.18602280166|16.62585205056383|16.62585205056383|16.62585205056383|44439.71959151469|44439.71959151469|44439.71959151469|0.0|0.0|0.0|2094479.657554032
2020-06-14|2029188.7686737408|2090639.2446418644|2100436.8913887343|2029188.7686737408|2029188.7686737408|66230.3658314557|66230.3658314557|66230.3658314557|27787.72571886271|27787.72571886271|27787.72571886271|66228.97293318954|66228.97293318954|66228.97293318954|19656.26831584423|19656.26831584423|19656.26831584423|163596.33227941862|163596.33227941862|163596.33227941862|-116970.16718313997|-116970.16718313997|-116970.16718313997|-68865.12252832968|-68865.12252832968|-68865.12252832968|-109780.22684428385|-109780.22684428385|-109780.22684428385|106519.85018282791|106519.85018282791|106519.85018282791|1.3928982661831852|1.3928982661831852|1.3928982661831852|44284.31299198959|44284.31299198959|44284.31299198959|0.0|0.0|0.0|2095419.1345051965
2020-06-15|2029677.5537463368|2091771.1213601907|2101062.7524424912|2029677.5537463368|2029677.5537463368|66736.12183370942|66736.12183370942|66736.12183370942|27666.02478878208|27666.02478878208|27666.02478878208|66755.55338046812|66755.55338046812|66755.55338046812|19624.99579166396|19624.99579166396|19624.99579166396|163617.51225337567|163617.51225337567|163617.51225337567|-115981.92369508352|-115981.92369508352|-115981.92369508352|-68449.36278723984|-68449.36278723984|-68449.36278723984|-110405.93589966926|-110405.93589966926|-110405.93589966926|106658.37172057644|106658.37172057644|106658.37172057644|-19.43154675866481|-19.43154675866481|-19.43154675866481|44025.87120806257|44025.87120806257|44025.87120806257|0.0|0.0|0.0|2096413.6755800461
2020-06-16|2030166.338818933|2092681.4869618786|2102090.287047275|2030166.3388189329|2030166.3388189329|67264.10233320255|67264.10233320255|67264.10233320255|27646.19017188588|27646.19017188588|27646.19017188588|67241.5289188632|67241.5289188632|67241.5289188632|19594.139051990638|19594.139051990638|19594.139051990638|163631.8127381551|163631.8127381551|163631.8127381551|-115008.05849958585|-115008.05849958585|-115008.05849958585|-68278.57630574064|-68278.57630574064|-68278.57630574064|-111021.97837287377|-111021.97837287377|-111021.97837287377|106803.92736431521|106803.92736431521|106803.92736431521|22.573414339363175|22.573414339363175|22.573414339363175|43874.072770716666|43874.072770716666|43874.072770716666|0.0|0.0|0.0|2097430.441152136
2020-06-17|2030655.1238915294|2093637.8116207058|2103020.462602473|2030655.1238915294|2030655.1238915294|67722.83912103556|67722.83912103556|67722.83912103556|27597.083291881398|27597.083291881398|27597.083291881398|67801.69881251936|67801.69881251936|67801.69881251936|19563.518830482182|19563.518830482182|19563.518830482182|163648.19406237628|163648.19406237628|163648.19406237628|-114052.65876839141|-114052.65876839141|-114052.65876839141|-68102.79236214321|-68102.79236214321|-68102.79236214321|-111626.95175382493|-111626.95175382493|-111626.95175382493|106918.99378483724|106918.99378483724|106918.99378483724|-78.8596914838478|-78.8596914838478|-78.8596914838478|43856.31172730186|43856.31172730186|43856.31172730186|0.0|0.0|0.0|2098377.963012565
2020-06-18|2031143.5778176882|2094467.8222863064|2104475.570121012|2031143.5778176882|2031143.5778176882|68207.22463055114|68207.22463055114|68207.22463055114|27565.16397833153|27565.16397833153|27565.16397833153|68244.63624908091|68244.63624908091|68244.63624908091|19532.636913223505|19532.636913223505|19532.636913223505|163691.05656718204|163691.05656718204|163691.05656718204|-113116.34851673183|-113116.34851673183|-113116.34851673183|-67823.2791316303|-67823.2791316303|-67823.2791316303|-112201.3208167051|-112201.3208167051|-112201.3208167051|107004.34570461986|107004.34570461986|107004.34570461986|-37.41161852978246|-37.41161852978246|-37.41161852978246|43592.38155079124|43592.38155079124|43592.38155079124|0.0|0.0|0.0|2099350.802448239
2020-06-19|2031632.0317438468|2095565.1455494636|2105074.9846368167|2031632.0317438468|2031632.0317438468|68642.09227459504|68642.09227459504|68642.09227459504|27552.244671552537|27552.244671552537|27552.244671552537|68546.98158247872|68546.98158247872|68546.98158247872|19504.099952458815|19504.099952458815|19504.099952458815|163828.40878816374|163828.40878816374|163828.40878816374|-112185.26467140061|-112185.26467140061|-112185.26467140061|-67979.9282311788|-67979.9282311788|-67979.9282311788|-112796.36654921359|-112796.36654921359|-112796.36654921359|106988.5350517004|106988.5350517004|106988.5350517004|95.1106921163205|95.1106921163205|95.1106921163205|43635.252570396246|43635.252570396246|43635.252570396246|0.0|0.0|0.0|2100274.124018442
2020-06-20|2032120.4856700057|2096735.361221286|2106123.999326156|2032120.4856700054|2032120.4856700054|69167.72848499338|69167.72848499338|69167.72848499338|27053.401758077747|27053.401758077747|27053.401758077747|69151.10263294252|69151.10263294252|69151.10263294252|19473.04645380636|19473.04645380636|19473.04645380636|163861.34950616548|163861.34950616548|163861.34950616548|-111226.2415958802|-111226.2415958802|-111226.2415958802|-66486.54327120591|-66486.54327120591|-66486.54327120591|-113393.53144085039|-113393.53144085039|-113393.53144085039|107085.54836586515|107085.54836586515|107085.54836586515|16.625852050856555|16.625852050856555|16.625852050856555|42784.07285696428|42784.07285696428|42784.07285696428|0.0|0.0|0.0|2101288.2141549992
2020-06-21|2032608.9395961645|2097076.47805193|2107208.6559545435|2032608.9395961645|2032608.9395961645|69614.63134996366|69614.63134996366|69614.63134996366|27034.050831712448|27034.050831712448|27034.050831712448|69613.2384516975|69613.2384516975|69613.2384516975|19442.171466793556|19442.171466793556|19442.171466793556|163895.11543221056|163895.11543221056|163895.11543221056|-110266.80842939159|-110266.80842939159|-110266.80842939159|-66314.37391736486|-66314.37391736486|-66314.37391736486|-113991.84229887044|-113991.84229887044|-113991.84229887044|107186.25910940178|107186.25910940178|107186.25910940178|1.3928982661702913|1.3928982661702913|1.3928982661702913|42628.66625720608|42628.66625720608|42628.66625720608|0.0|0.0|0.0|2102223.570946128
2020-06-22|2033097.3935223233|2098259.1854370288|2107849.8235654007|2033097.3935223233|2033097.3935223233|70116.59833861915|70116.59833861915|70116.59833861915|26912.349901379555|26912.349901379555|26912.349901379555|70136.0298853779|70136.0298853779|70136.0298853779|19410.800194962867|19410.800194962867|19410.800194962867|163916.2961983471|163916.2961983471|163916.2961983471|-109302.5961643702|-109302.5961643702|-109302.5961643702|-65898.61417600454|-65898.61417600454|-65898.61417600454|-114588.25777264594|-114588.25777264594|-114588.25777264594|107315.82723066054|107315.82723066054|107315.82723066054|-19.43154675870039|-19.43154675870039|-19.43154675870039|42370.224473048525|42370.224473048525|42370.224473048525|0.0|0.0|0.0|2103213.9918609424
2020-06-23|2033585.8474484822|2099605.927046242|2109013.8020299706|2033585.8474484822|2033585.8474484822|70640.7898245142|70640.7898245142|70640.7898245142|26892.51528423067|26892.51528423067|26892.51528423067|70618.21641017514|70618.21641017514|70618.21641017514|19379.844707639117|19379.844707639117|19379.844707639117|163930.59747530584|163930.59747530584|163930.59747530584|-108352.7621919076|-108352.7621919076|-108352.7621919076|-65727.82769423335|-65727.82769423335|-65727.82769423335|-115175.00666424033|-115175.00666424033|-115175.00666424033|107452.42945790962|107452.42945790962|107452.42945790962|22.57341433910811|22.57341433910811|22.57341433910811|42218.42603547118|42218.42603547118|42218.42603547118|0.0|0.0|0.0|2104226.6372729964
2020-06-24|2034074.301374641|2100352.4818044254|2109807.6407682016|2034074.301374641|2034074.301374641|71095.73759874876|71095.73759874876|71095.73759874876|26843.4084039743|26843.4084039743|26843.4084039743|71174.59729023279|71174.59729023279|71174.59729023279|19349.12573848024|19349.12573848024|19349.12573848024|163946.97959170653|163946.97959170653|163946.97959170653|-107421.3936837482|-107421.3936837482|-107421.3936837482|-65552.04375036644|-65552.04375036644|-65552.04375036644|-115750.68646358167|-115750.68646358167|-115750.68646358167|107558.54246194175|107558.54246194175|107558.54246194175|-78.85969148404139|-78.85969148404139|-78.85969148404139|42200.66499182628|42200.66499182628|42200.66499182628|0.0|0.0|0.0|2105170.0389733897
2020-06-25|2034562.7553007999|2101599.4135508067|2111400.1460580383|2034562.7553007999|2034562.7553007999|71580.12310826445|71580.12310826445|71580.12310826445|26811.489090424315|26811.489090424315|26811.489090424315|71617.53472679469|71617.53472679469|71617.53472679469|19318.24382122156|19318.24382122156|19318.24382122156|163989.84209651224|163989.84209651224|163989.84209651224|-106485.08343208859|-106485.08343208859|-106485.08343208859|-65272.53051985309|-65272.53051985309|-65272.53051985309|-116325.05552646179|-116325.05552646179|-116325.05552646179|107643.89438172449|107643.89438172449|107643.89438172449|-37.411618530213715|-37.411618530213715|-37.411618530213715|41936.73481531557|41936.73481531557|41936.73481531557|0.0|0.0|0.0|2106142.8784090644
