"date","productionChange","oilPrice","wheat","corn","worldConsumptionChange","dollarindex","oilInventory","naturalGas","nonoecdConsumptionGrowth","nonoecdGDPGrowth","nonopecDisruption","oecdConsumptionChange","opecDisruption","spareCapacity","soy","capacityPercentChange","volatility","worldGDPChange","consumptionValue","productionValue","oilRigs","dgorder","neworder","meanCoal"
2012-05-07,0.00395604395604396,97.94,6.12,6.2,0.0114285714285714,79.599998,1744104.85714286,2.70709677419355,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.02043956043956,14.6575,0.0117582417582418,29.07,0.039010989010989,90.3122580645161,90.8777419354839,1976.03225806452,218498.967741935,68679.3870967742,42.65
2012-05-08,0.00395604395604396,97.01,6.15,6.23,0.0114285714285714,79.730003,1744515.14285714,2.72161290322581,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01934065934066,14.3825,0.0117582417582418,29.06,0.039010989010989,90.3209677419355,90.8690322580645,1975.87096774194,218503.129032258,68611.4516129032,42.65
2012-05-09,0.00395604395604396,96.81,6,6.0725,0.0114285714285714,80.080002,1744925.42857143,2.73612903225806,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01824175824176,14.3025,0.0117582417582418,29.27,0.039010989010989,90.3296774193548,90.8603225806452,1975.70967741935,218507.290322581,68543.5161290323,42.6042857142857
2012-05-10,0.00395604395604396,97.08,6.0125,5.875,0.0114285714285714,80.110001,1745335.71428571,2.75064516129032,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01714285714286,14.5525,0.0117582417582418,28.61,0.039010989010989,90.3383870967742,90.8516129032258,1975.54838709677,218511.451612903,68475.5806451613,42.5585714285714
2012-05-11,0.00395604395604396,96.13,5.97,5.81,0.0114285714285714,80.279999,1745746,2.76516129032258,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01604395604396,14.06,0.0117582417582418,28.79,0.039010989010989,90.3470967741935,90.8429032258065,1975.38709677419,218515.612903226,68407.6451612903,42.5128571428571
2012-05-12,0.00395604395604396,95.68,5.97416666666667,5.81666666666667,0.0114285714285714,80.3866653333333,1745897,2.77967741935484,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01494505494506,13.9966666666667,0.0117582417582418,29.5133333333333,0.039010989010989,90.3558064516129,90.8341935483871,1975.22580645161,218519.774193548,68339.7096774193,42.4671428571429
2012-05-13,0.00395604395604396,95.23,5.97833333333333,5.82333333333333,0.0114285714285714,80.4933316666667,1746048,2.7941935483871,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01384615384615,13.9333333333333,0.0117582417582418,30.2366666666667,0.039010989010989,90.3645161290323,90.8254838709677,1975.06451612903,218523.935483871,68271.7741935484,42.4214285714286
2012-05-14,0.00395604395604396,94.78,5.9825,5.83,0.0114285714285714,80.599998,1746199,2.80870967741935,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01274725274725,13.87,0.0117582417582418,30.96,0.039010989010989,90.3732258064516,90.8167741935484,1974.90322580645,218528.096774194,68203.8387096774,42.3757142857143
2012-05-15,0.00395604395604396,93.98,6.085,5.9725,0.0114285714285714,81.220001,1746350,2.82322580645161,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01164835164835,14.13,0.0117582417582418,32.13,0.039010989010989,90.381935483871,90.808064516129,1974.74193548387,218532.258064516,68135.9032258065,42.33
2012-05-16,0.00395604395604396,92.81,6.3875,6.2,0.0114285714285714,81.370003,1746501,2.83774193548387,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.01054945054945,14.22,0.0117582417582418,31.48,0.039010989010989,90.3906451612903,90.7993548387097,1974.58064516129,218536.419354839,68067.9677419355,42.3114285714286
2012-05-17,0.00395604395604396,92.636,6.5775,6.25,0.0114285714285714,81.379997,1746652,2.85225806451613,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00945054945055,14.38,0.0117582417582418,32.62,0.039010989010989,90.3993548387097,90.7906451612903,1974.41935483871,218540.580645161,68000.0322580645,42.2928571428571
2012-05-18,0.00395604395604396,91.608,6.9525,6.355,0.0114285714285714,81.290001,1746803,2.86677419354839,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00835164835165,14.05,0.0117582417582418,33.18,0.039010989010989,90.408064516129,90.781935483871,1974.25806451613,218544.741935484,67932.0967741935,42.2742857142857
2012-05-19,0.00395604395604396,91.9866666666667,6.98166666666667,6.34666666666667,0.0114285714285714,81.2200013333333,1747588.14285714,2.88129032258065,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00725274725275,14.075,0.0117582417582418,32.1233333333333,0.039010989010989,90.4167741935484,90.7732258064516,1974.09677419355,218548.903225806,67864.1612903226,42.2557142857143
2012-05-20,0.00395604395604396,92.3653333333333,7.01083333333333,6.33833333333333,0.0114285714285714,81.1500016666667,1748373.28571429,2.8958064516129,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00615384615385,14.1,0.0117582417582418,31.0666666666667,0.039010989010989,90.4254838709677,90.7645161290323,1973.93548387097,218553.064516129,67796.2258064516,42.2371428571429
2012-05-21,0.00395604395604396,92.744,7.04,6.33,0.0114285714285714,81.080002,1749158.42857143,2.91032258064516,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00505494505494,14.125,0.0117582417582418,30.01,0.039010989010989,90.4341935483871,90.7558064516129,1973.77419354839,218557.225806452,67728.2903225807,42.2185714285714
2012-05-22,0.00395604395604396,91.812,6.855,5.97,0.0114285714285714,81.669998,1749943.57142857,2.92483870967742,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00395604395604,13.8225,0.0117582417582418,29.75,0.039010989010989,90.4429032258065,90.7470967741936,1973.61290322581,218561.387096774,67660.3548387097,42.2
2012-05-23,0.00395604395604396,89.9,6.655,6.035,0.0114285714285714,82.089996,1750728.71428571,2.93935483870968,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00285714285714,13.625,0.0117582417582418,30.9,0.039010989010989,90.4516129032258,90.7383870967742,1973.45161290323,218565.548387097,67592.4193548387,42.2142857142857
2012-05-24,0.00395604395604396,90.66,6.63,5.785,0.0114285714285714,82.290001,1751513.85714286,2.95387096774194,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00175824175824,13.76,0.0117582417582418,30.12,0.039010989010989,90.4603225806452,90.7296774193548,1973.29032258065,218569.709677419,67524.4838709677,42.2285714285714
2012-05-25,0.00395604395604396,90.86,6.8,5.785,0.0114285714285714,82.400002,1752299,2.96838709677419,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,2.00065934065934,13.82,0.0117582417582418,30.19,0.039010989010989,90.4690322580645,90.7209677419355,1973.12903225806,218573.870967742,67456.5483870968,42.2428571428571
2012-05-26,0.00395604395604396,90.835,6.741875,5.745,0.0114285714285714,82.410002,1753032.28571429,2.98290322580645,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99956043956044,13.831875,0.0117582417582418,30.3225,0.039010989010989,90.4777419354839,90.7122580645161,1972.96774193548,218578.032258065,67388.6129032258,42.2571428571429
2012-05-27,0.00395604395604396,90.81,6.68375,5.705,0.0114285714285714,82.420002,1753765.57142857,2.99741935483871,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99846153846154,13.84375,0.0117582417582418,30.455,0.039010989010989,90.4864516129032,90.7035483870968,1972.8064516129,218582.193548387,67320.6774193548,42.2714285714286
2012-05-28,0.00395604395604396,90.785,6.625625,5.665,0.0114285714285714,82.430002,1754498.85714286,3.01193548387097,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99736263736264,13.855625,0.0117582417582418,30.5875,0.039010989010989,90.4951612903226,90.6948387096774,1972.64516129032,218586.35483871,67252.7419354839,42.2857142857143
2012-05-29,0.00395604395604396,90.76,6.5675,5.625,0.0114285714285714,82.440002,1755232.14285714,3.02645161290323,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99626373626374,13.8675,0.0117582417582418,30.72,0.039010989010989,90.5038709677419,90.6861290322581,1972.48387096774,218590.516129032,67184.8064516129,42.3
2012-05-30,0.00395604395604396,87.82,6.5375,5.595,0.0114285714285714,83.010002,1755965.42857143,3.04096774193548,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99516483516484,13.7325,0.0117582417582418,33.32,0.039010989010989,90.5125806451613,90.6774193548387,1972.32258064516,218594.677419355,67116.8709677419,42.3
2012-05-31,0.00395604395604396,86.53,6.4375,5.5525,0.0114285714285714,83.040001,1756698.71428571,3.05548387096774,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99406593406593,13.4,0.0117582417582418,34.79,0.039010989010989,90.5212903225806,90.6687096774194,1972.16129032258,218598.838709677,67048.935483871,42.3
2012-06-01,0.00395604395604396,83.23,6.1225,5.515,0.0114285714285714,82.889999,1757432,3.07,0.0471428571428571,0.058021978021978,0.86,-0.0215384615384615,0.98,1.99296703296703,13.4425,0.0117582417582418,41.63,0.039010989010989,90.53,90.66,1972,218603,66981,42.3
2012-06-02,0.00395604395604396,83.48,6.17416666666667,5.57,0.0114285714285714,82.776667,1757597.14285714,3.08733333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99186813186813,13.4283333333333,0.0117582417582418,40.6133333333333,0.039010989010989,90.5593333333333,90.6743333333333,1971.06666666667,218772.133333333,66918.5666666667,42.3
2012-06-03,0.00395604395604396,83.73,6.22583333333333,5.625,0.0114285714285714,82.663335,1757762.28571429,3.10466666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.99076923076923,13.4141666666667,0.0117582417582418,39.5966666666667,0.039010989010989,90.5886666666667,90.6886666666667,1970.13333333333,218941.266666667,66856.1333333333,42.3
2012-06-04,0.00395604395604396,83.98,6.2775,5.68,0.0114285714285714,82.550003,1757927.42857143,3.122,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98967032967033,13.4,0.0117582417582418,38.58,0.039010989010989,90.618,90.703,1969.2,219110.4,66793.7,42.3
2012-06-05,0.00395604395604396,84.29,6.1325,5.675,0.0114285714285714,82.800003,1758092.57142857,3.13933333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98857142857143,13.495,0.0117582417582418,36.67,0.039010989010989,90.6473333333333,90.7173333333333,1968.26666666667,219279.533333333,66731.2666666667,42.3
